Date,Open,High,Low,Close,Adj Close,Volume
2013-06-28,102.860001,103.489998,102.320000,102.440002,89.533524,5432500
2013-07-01,102.930000,104.019997,102.930000,103.239998,90.232719,4091200
2013-07-02,103.220001,103.250000,100.820000,101.470001,88.685738,4147000
2013-07-03,101.010002,103.040001,100.779999,102.889999,89.926811,2891700
2013-07-05,103.699997,104.199997,102.750000,104.199997,91.071770,3671700
2013-07-08,104.000000,105.099998,103.440002,104.370003,91.220352,4222700
2013-07-09,105.269997,105.750000,104.459999,104.680000,91.491295,3991800
2013-07-10,104.500000,105.599998,104.410004,105.500000,92.207970,3872700
2013-07-11,106.430000,107.459999,106.290001,106.879997,93.414093,4529800
2013-07-12,106.860001,108.150002,98.989998,101.870003,89.035309,44391800
2013-07-15,103.830002,105.870003,103.099998,105.660004,92.347824,13169900
2013-07-16,105.690002,105.800003,103.779999,104.230003,91.097992,5839100
2013-07-17,104.449997,105.430000,104.419998,104.790001,91.587433,3931800
2013-07-18,104.959999,107.980003,104.800003,107.629997,94.069626,8046400
2013-07-19,107.129997,107.129997,105.610001,106.959999,93.484024,5992000
2013-07-22,107.269997,107.320000,106.449997,106.860001,93.396606,4168800
2013-07-23,107.180000,107.980003,106.339996,107.790001,94.209457,5081600
2013-07-24,109.239998,109.489998,106.260002,106.949997,93.475273,7723500
2013-07-25,106.360001,107.120003,105.849998,106.699997,93.256767,5267100
2013-07-26,106.220001,106.220001,105.309998,105.599998,92.295372,4216100
2013-07-29,103.519997,105.120003,103.500000,104.809998,91.604897,4041800
2013-07-30,104.940002,106.010002,104.800003,105.730003,92.408997,5022700
2013-07-31,105.919998,106.279999,104.989998,105.099998,91.858383,4487800
2013-08-01,105.989998,107.000000,105.779999,106.699997,93.256767,4910800
2013-08-02,106.000000,107.949997,106.000000,107.900002,94.305580,4226200
2013-08-05,107.139999,107.800003,107.139999,107.500000,93.955986,3559200
2013-08-06,107.349998,107.709999,106.620003,107.040001,93.553940,5199900
2013-08-07,106.209999,106.680000,105.529999,106.419998,93.435432,3158600
2013-08-08,106.680000,107.239998,105.830002,105.839996,92.926208,3741400
2013-08-09,105.370003,106.150002,104.879997,105.330002,92.478401,3326500
2013-08-12,104.860001,105.070000,104.050003,104.239998,91.521408,3830800
2013-08-13,104.309998,106.550003,104.269997,106.230003,93.268593,3578300
2013-08-14,106.160004,106.160004,104.070000,104.160004,91.451172,4481100
2013-08-15,103.190002,103.290001,101.769997,102.730003,90.195648,4359400
2013-08-16,102.820000,103.940002,102.699997,103.470001,90.845352,3469100
2013-08-19,103.000000,105.199997,102.879997,104.720001,91.942848,3512200
2013-08-20,104.690002,105.080002,104.550003,104.629997,91.863823,3448900
2013-08-21,104.470001,104.760002,103.599998,103.910004,91.231667,3645600
2013-08-22,103.879997,105.500000,103.879997,105.139999,92.311592,2857800
2013-08-23,105.500000,105.500000,104.800003,105.480003,92.610123,3016100
2013-08-26,105.750000,106.519997,105.209999,105.529999,92.654015,2480400
2013-08-27,104.400002,105.139999,103.059998,103.209999,90.617073,4376900
2013-08-28,103.099998,103.820000,102.570000,103.269997,90.669746,2816300
2013-08-29,103.279999,105.440002,103.000000,104.930000,92.127228,3095400
2013-08-30,104.919998,104.959999,103.599998,103.919998,91.240463,2723800
2013-09-03,105.129997,105.830002,104.660004,105.010002,92.197456,3659800
2013-09-04,105.050003,107.120003,104.620003,106.370003,93.391518,3837500
2013-09-05,106.160004,106.980003,105.669998,106.650002,93.637367,2590500
2013-09-06,107.000000,107.379997,105.110001,106.070000,93.128128,3265200
2013-09-09,106.580002,107.379997,106.559998,107.190002,94.111481,2907600
2013-09-10,107.639999,108.449997,107.400002,108.169998,94.971893,3848000
2013-09-11,108.250000,109.230003,107.800003,109.230003,95.902565,3313700
2013-09-12,109.190002,110.220001,109.139999,109.800003,96.403008,4766800
2013-09-13,109.930000,111.330002,109.559998,111.330002,97.746330,3503400
2013-09-16,113.730003,115.889999,113.260002,115.669998,101.556808,7711200
2013-09-17,115.779999,117.480003,115.589996,117.110001,102.821106,5308300
2013-09-18,117.279999,119.519997,116.550003,118.400002,103.953728,6330600
2013-09-19,119.220001,120.379997,118.809998,119.040001,104.515625,5766700
2013-09-20,119.150002,119.220001,116.629997,116.629997,102.399673,8745400
2013-09-23,117.150002,118.370003,115.800003,117.510002,103.172310,5450200
2013-09-24,117.190002,119.889999,116.800003,119.000000,104.480507,5020000
2013-09-25,119.320000,119.610001,118.160004,118.510002,104.050285,3566600
2013-09-26,118.709999,119.500000,118.510002,119.379997,104.814133,2820400
2013-09-27,118.510002,119.169998,117.790001,118.739998,104.252213,2848900
2013-09-30,117.349998,117.889999,116.370003,117.500000,103.163528,4032900
2013-10-01,117.970001,118.300003,117.080002,117.750000,103.382996,2880700
2013-10-02,117.379997,117.839996,116.279999,117.839996,103.462036,2871900
2013-10-03,117.349998,117.489998,114.730003,115.239998,101.179276,4455100
2013-10-04,115.269997,117.260002,115.250000,117.199997,102.900124,3998000
2013-10-07,115.510002,117.169998,115.400002,116.690002,102.452347,3822000
2013-10-08,116.669998,117.320000,115.419998,115.440002,101.354881,4574000
2013-10-09,115.400002,115.400002,113.339996,114.470001,100.503220,4722200
2013-10-10,116.099998,119.000000,115.910004,118.900002,104.392708,5635400
2013-10-11,118.599998,119.400002,117.830002,117.980003,103.584969,4505500
2013-10-14,117.419998,119.550003,116.690002,119.459999,104.884369,3617800
2013-10-15,119.419998,119.589996,118.139999,118.180000,103.760544,2749700
2013-10-16,118.779999,120.660004,118.750000,120.339996,105.657005,4036900
2013-10-17,119.809998,122.389999,119.809998,122.290001,107.369080,4114200
2013-10-18,122.500000,122.860001,121.250000,122.519997,107.571022,3924200
2013-10-21,122.690002,122.739998,121.059998,121.470001,106.649124,3207900
2013-10-22,122.000000,123.800003,121.879997,122.480003,107.535904,4431200
2013-10-23,126.000000,129.990005,125.900002,129.020004,113.277939,10766300
2013-10-24,129.009995,129.570007,127.940002,128.979996,113.242821,4976200
2013-10-25,129.250000,131.429993,128.220001,131.190002,115.183151,5467600
2013-10-28,128.750000,130.470001,128.639999,129.880005,114.033020,4655800
2013-10-29,129.350006,129.880005,128.759995,129.660004,113.839836,3608700
2013-10-30,129.559998,131.429993,129.020004,129.679993,113.857391,4122100
2013-10-31,129.839996,131.880005,129.550003,130.500000,114.577362,4931800
2013-11-01,130.899994,133.500000,130.899994,133.029999,116.798676,4582400
2013-11-04,133.750000,133.990005,132.460007,132.789993,116.587929,3915800
2013-11-05,132.029999,133.740005,130.589996,133.570007,117.272789,4069200
2013-11-06,134.020004,134.580002,132.679993,133.089996,117.277153,3747700
2013-11-07,133.440002,133.929993,131.350006,131.509995,115.884911,3826800
2013-11-08,131.279999,133.899994,130.949997,133.490005,117.629669,4790900
2013-11-11,133.139999,133.330002,132.119995,132.529999,116.783722,2962200
2013-11-12,132.399994,133.080002,131.970001,132.330002,116.607483,2851000
2013-11-13,131.919998,133.490005,131.100006,133.169998,117.347679,3577100
2013-11-14,133.699997,135.380005,133.169998,135.089996,119.039551,3279600
2013-11-15,135.360001,136.570007,134.539993,136.080002,119.911942,4495100
2013-11-18,140.250000,142.000000,137.770004,138.360001,121.921043,8158800
2013-11-19,138.500000,138.789993,136.699997,136.979996,120.705017,3954000
2013-11-20,135.800003,135.889999,132.289993,132.449997,116.713219,8634900
2013-11-21,132.449997,133.289993,131.199997,132.929993,117.136185,4700600
2013-11-22,133.490005,136.119995,133.429993,135.970001,119.815010,4290200
2013-11-25,134.009995,134.860001,130.580002,133.000000,117.197861,7181700
2013-11-26,133.000000,135.440002,132.559998,134.779999,118.766380,4200800
2013-11-27,135.050003,136.300003,134.169998,134.720001,118.713524,3350900
2013-11-29,134.820007,135.229996,134.179993,134.250000,118.299332,1680900
2013-12-02,134.990005,135.460007,133.619995,134.160004,118.220062,3378100
