Date,Open,High,Low,Close,Adj Close,Volume
2013-06-28,152.690002,152.770004,151.000000,151.250000,141.449661,3011300
2013-07-01,152.779999,154.100006,151.699997,151.750000,141.917252,2496100
2013-07-02,151.160004,153.190002,149.899994,150.919998,141.141022,3091600
2013-07-03,149.619995,151.419998,149.279999,150.429993,140.682770,1267700
2013-07-05,152.300003,153.289993,151.500000,153.240005,143.310730,2243700
2013-07-08,154.580002,154.800003,152.880005,153.809998,143.843781,2699100
2013-07-09,154.990005,157.440002,153.169998,156.940002,146.770966,3127100
2013-07-10,156.570007,157.619995,154.669998,155.830002,145.732941,2430100
2013-07-11,158.500000,159.740005,156.110001,157.710007,147.491058,2965700
2013-07-12,158.619995,160.279999,158.550003,160.110001,149.735580,2844600
2013-07-15,162.800003,163.389999,161.160004,163.000000,152.438278,4129900
2013-07-16,163.919998,164.300003,159.429993,160.240005,149.857147,5972700
2013-07-17,159.839996,161.990005,159.500000,161.500000,151.035477,3715000
2013-07-18,161.580002,164.580002,161.500000,164.059998,153.429611,3462700
2013-07-19,163.750000,164.850006,162.580002,164.360001,153.710175,3329700
2013-07-22,163.949997,166.330002,163.880005,166.250000,155.477707,2741100
2013-07-23,166.500000,167.410004,165.479996,166.259995,155.487061,2545400
2013-07-24,166.750000,166.889999,164.440002,165.039993,154.346130,2548100
2013-07-25,164.279999,166.000000,163.690002,165.910004,155.159729,2236200
2013-07-26,165.050003,165.649994,164.270004,165.259995,154.551880,2372200
2013-07-29,164.630005,164.830002,162.020004,163.169998,152.597305,2823600
2013-07-30,163.490005,164.009995,162.330002,162.429993,151.905228,2553300
2013-07-31,162.529999,165.970001,162.429993,164.029999,153.401581,3700300
2013-08-01,165.740005,167.899994,164.880005,167.490005,156.637375,3251900
2013-08-02,166.830002,167.899994,166.460007,167.619995,156.758957,1866700
2013-08-05,167.279999,169.690002,166.440002,168.320007,157.413589,2618400
2013-08-06,168.070007,168.279999,164.470001,164.779999,154.103012,3598500
2013-08-07,164.000000,164.229996,162.050003,163.449997,152.859161,2131000
2013-08-08,164.750000,166.429993,162.830002,162.839996,152.288696,2818400
2013-08-09,162.399994,164.100006,162.020004,162.130005,151.624695,2012000
2013-08-12,161.729996,162.380005,160.550003,161.690002,151.213181,1982000
2013-08-13,161.990005,164.550003,160.949997,163.710007,153.102310,2309600
2013-08-14,163.850006,164.800003,162.929993,163.339996,152.756256,1667400
2013-08-15,161.910004,161.970001,160.070007,160.750000,150.334076,2206900
2013-08-16,160.279999,162.289993,160.029999,160.660004,150.249939,2024300
2013-08-19,160.169998,160.789993,158.529999,158.630005,148.351456,2228400
2013-08-20,158.720001,160.029999,157.779999,159.559998,149.221207,2288700
2013-08-21,158.779999,159.229996,156.509995,157.110001,146.929932,3053800
2013-08-22,157.809998,159.660004,157.199997,159.410004,149.080917,2302700
2013-08-23,159.589996,159.789993,158.000000,158.649994,148.370148,1495800
2013-08-26,158.410004,160.699997,157.750000,157.899994,147.668777,1885200
2013-08-27,155.720001,156.529999,152.929993,153.229996,143.301331,3672000
2013-08-28,153.000000,154.149994,151.449997,152.970001,143.526550,2343200
2013-08-29,152.369995,154.679993,152.089996,153.630005,144.145798,2133000
2013-08-30,153.770004,153.979996,151.330002,152.130005,142.738373,2234000
2013-09-03,154.479996,156.039993,153.520004,154.759995,145.206024,2464800
2013-09-04,154.759995,157.250000,154.350006,155.740005,146.125534,2194200
2013-09-05,155.990005,158.050003,155.570007,156.169998,146.529007,2443900
2013-09-06,156.979996,157.710007,153.419998,156.660004,146.988739,2464000
2013-09-09,157.410004,159.699997,157.160004,159.490005,149.644058,2150400
2013-09-10,162.979996,165.529999,162.559998,165.139999,154.945221,5265900
2013-09-11,164.929993,165.789993,163.779999,165.059998,154.870209,2233100
2013-09-12,164.839996,165.309998,163.070007,163.350006,153.265732,2690000
2013-09-13,164.380005,164.720001,162.960007,164.000000,153.875641,2231500
2013-09-16,166.309998,168.570007,165.190002,167.029999,156.718536,3553100
2013-09-17,167.190002,167.580002,165.660004,167.419998,157.084518,2653700
2013-09-18,166.500000,169.089996,165.639999,168.059998,157.684937,3422400
2013-09-19,169.690002,170.000000,166.880005,167.779999,157.422241,3534700
2013-09-20,168.000000,169.750000,164.029999,169.750000,159.270630,20410100
2013-09-23,168.179993,168.460007,164.720001,165.250000,155.048431,4816200
2013-09-24,165.520004,166.399994,162.970001,162.970001,152.909195,3422600
2013-09-25,163.259995,163.690002,161.160004,162.309998,152.289948,3614600
2013-09-26,162.899994,163.929993,161.039993,162.289993,152.271164,2711400
2013-09-27,160.690002,160.949997,159.429993,159.850006,149.981842,3679100
2013-09-30,157.720001,159.139999,156.570007,158.210007,148.443039,2803600
2013-10-01,158.860001,160.309998,157.559998,159.000000,149.184250,2465300
2013-10-02,157.690002,159.580002,157.520004,158.669998,148.874634,2431000
2013-10-03,158.630005,159.160004,155.460007,156.850006,147.167023,2949500
2013-10-04,157.080002,157.250000,156.089996,156.550003,146.885513,2984500
2013-10-07,155.169998,156.199997,154.220001,154.250000,144.727539,2618000
2013-10-08,154.619995,155.850006,153.000000,153.050003,143.601578,2917200
2013-10-09,153.559998,155.320007,152.830002,154.440002,144.905823,3227500
2013-10-10,156.830002,158.240005,156.000000,158.009995,148.255386,3639000
2013-10-11,158.490005,160.490005,157.520004,160.000000,150.122559,3124900
2013-10-14,158.220001,159.919998,157.500000,159.460007,149.615891,2428100
2013-10-15,159.809998,160.039993,157.509995,157.630005,147.898865,3038000
2013-10-16,158.580002,162.500000,157.500000,162.250000,152.233643,3649300
2013-10-17,156.479996,159.199997,155.990005,158.320007,148.546295,7522100
2013-10-18,158.839996,159.699997,156.679993,158.690002,148.893417,4982100
2013-10-21,158.669998,160.649994,158.250000,159.770004,149.906784,2695400
2013-10-22,160.639999,160.710007,158.229996,159.250000,149.418839,3239400
2013-10-23,158.020004,158.080002,156.559998,157.740005,148.002075,2735800
2013-10-24,159.449997,160.350006,158.830002,159.960007,150.085037,2591000
2013-10-25,160.000000,162.240005,159.910004,162.089996,152.083557,3721000
2013-10-28,162.000000,162.190002,160.250000,161.449997,151.483047,3341500
2013-10-29,162.070007,163.110001,161.009995,162.110001,152.102280,3702100
2013-10-30,162.559998,162.970001,161.149994,162.050003,152.045959,2344200
2013-10-31,162.089996,163.350006,160.860001,160.860001,150.929459,2785000
2013-11-01,161.029999,162.600006,160.720001,162.050003,152.045959,2738400
2013-11-04,162.419998,163.240005,161.589996,163.160004,153.087463,1711000
2013-11-05,161.669998,162.630005,160.779999,161.949997,151.952164,2529400
2013-11-06,162.529999,164.300003,162.330002,163.520004,153.425262,3593700
2013-11-07,164.039993,164.210007,159.610001,159.639999,149.784775,3490300
2013-11-08,160.389999,163.690002,159.880005,163.169998,153.096878,3856000
2013-11-11,162.500000,164.750000,162.160004,163.839996,153.725479,2289000
2013-11-12,163.100006,164.380005,162.130005,162.889999,152.834152,2239600
2013-11-13,161.779999,163.710007,161.199997,162.940002,152.881058,3398300
2013-11-14,163.550003,163.949997,162.410004,163.199997,153.125000,3648200
2013-11-15,163.179993,165.419998,163.179993,164.399994,154.250931,2667200
2013-11-18,164.740005,167.649994,164.199997,165.679993,155.451920,3555000
2013-11-19,165.869995,168.000000,165.630005,166.600006,156.315109,2691900
2013-11-20,166.759995,167.250000,164.860001,165.000000,154.813889,2793100
2013-11-21,165.250000,167.320007,165.009995,167.070007,156.756104,3158500
2013-11-22,166.770004,168.240005,165.529999,168.100006,157.722519,2680500
2013-11-25,168.500000,170.500000,168.500000,169.479996,159.017334,3101700
2013-11-26,169.360001,170.690002,168.000000,168.039993,157.666214,2953400
2013-11-27,168.050003,168.809998,166.869995,168.220001,158.353378,2285300
2013-11-29,167.889999,170.380005,167.690002,168.940002,159.031158,2018700
2013-12-02,169.880005,171.580002,168.679993,169.720001,159.765427,3121100
2013-12-03,169.089996,170.759995,167.910004,168.050003,158.193375,3288200
2013-12-04,167.309998,169.929993,167.309998,168.699997,158.805237,2328200
2013-12-05,167.410004,167.960007,165.350006,165.559998,155.849426,3564100
