Date,Open,High,Low,Close,Adj Close,Volume
2013-06-28,41.560001,41.619999,41.049999,41.270000,35.840420,20249300
2013-07-01,41.560001,41.959999,41.270000,41.360001,35.918571,16177100
2013-07-02,41.200001,41.580002,41.009998,41.220001,35.796982,15558700
2013-07-03,40.980000,41.299999,40.790001,41.220001,35.796982,8074400
2013-07-05,41.459999,42.070000,41.430000,42.070000,36.535160,14933800
2013-07-08,42.360001,42.970001,42.290001,42.830002,37.195175,22830100
2013-07-09,42.950001,43.080002,42.230000,42.700001,37.082279,22540600
2013-07-10,42.549999,42.580002,41.740002,42.070000,36.535160,25414800
2013-07-11,42.470001,42.520000,41.439999,41.889999,36.378845,32231700
2013-07-12,42.599998,43.049999,42.200001,42.630001,37.021488,35799500
2013-07-15,42.980000,43.360001,42.970001,43.349998,37.646767,21926700
2013-07-16,43.349998,43.450001,42.849998,43.020000,37.360176,21829100
2013-07-17,43.200001,43.880001,43.169998,43.509998,37.785709,23959200
2013-07-18,43.720001,44.590000,43.669998,44.410000,38.567307,23443500
2013-07-19,44.419998,44.759998,44.130001,44.450001,38.602039,18904400
2013-07-22,44.480000,44.779999,44.270000,44.630001,38.758366,18409400
2013-07-23,44.650002,44.790001,44.500000,44.570000,38.706261,13431500
2013-07-24,44.680000,44.730000,44.250000,44.310001,38.480469,17947800
2013-07-25,44.220001,44.220001,43.419998,43.650002,37.907291,29467400
2013-07-26,43.549999,43.700001,43.200001,43.509998,37.785709,18503800
2013-07-29,43.410000,43.500000,43.209999,43.250000,37.559917,12402400
2013-07-30,43.490002,43.639999,43.189999,43.259998,37.568600,18579200
2013-07-31,43.299999,44.049999,43.299999,43.500000,37.777035,25488500
2013-08-01,44.189999,44.740002,44.119999,44.259998,38.437042,19822300
2013-08-02,44.240002,44.549999,44.049999,44.490002,38.636784,13506500
2013-08-05,44.470001,44.549999,44.220001,44.340000,38.506512,14162200
2013-08-06,44.270000,44.320000,43.970001,44.029999,38.237297,13788000
2013-08-07,43.340000,43.509998,43.270000,43.270000,37.835079,18578700
2013-08-08,43.509998,43.570000,42.990002,43.220001,37.791367,18704100
2013-08-09,43.209999,43.380001,43.000000,43.230000,37.800098,10716100
2013-08-12,43.049999,43.430000,42.849998,43.200001,37.773872,11087600
2013-08-13,43.250000,43.360001,43.060001,43.320000,37.878811,12733900
2013-08-14,43.450001,43.529999,43.099998,43.099998,37.686424,13772000
2013-08-15,42.900002,43.119999,42.810001,42.990002,37.590252,17748800
2013-08-16,42.680000,43.180000,42.639999,42.750000,37.380390,16238000
2013-08-19,42.959999,42.980000,42.459999,42.490002,37.153046,15873700
2013-08-20,42.470001,42.669998,42.160000,42.590000,37.240494,15113700
2013-08-21,42.450001,42.669998,42.130001,42.360001,37.039375,14586200
2013-08-22,42.410000,42.630001,42.180000,42.480000,37.144310,14037600
2013-08-23,42.680000,42.830002,42.349998,42.759998,37.389133,12161600
2013-08-26,42.700001,42.830002,42.369999,42.389999,37.065605,10107000
2013-08-27,41.889999,41.910000,41.040001,41.110001,35.946388,19230000
2013-08-28,41.090000,41.580002,40.980000,41.250000,36.068802,13927000
2013-08-29,41.060001,41.660000,41.029999,41.250000,36.068802,10512600
2013-08-30,41.369999,41.419998,40.919998,41.080002,35.920151,15031800
2013-09-03,41.650002,41.849998,41.060001,41.389999,36.191212,15949300
2013-09-04,41.360001,41.750000,41.250000,41.500000,36.287399,12465000
2013-09-05,41.549999,42.000000,41.500000,41.820000,36.567215,11331000
2013-09-06,42.009998,42.020000,41.200001,41.430000,36.226189,14548700
2013-09-09,41.520000,41.720001,40.889999,41.720001,36.479759,27418600
2013-09-10,42.119999,42.459999,41.900002,42.450001,37.118073,18702300
2013-09-11,42.490002,42.529999,42.250000,42.500000,37.161800,14707900
2013-09-12,42.520000,42.660000,42.070000,42.259998,36.951942,14499500
2013-09-13,42.119999,42.389999,42.070000,42.189999,36.890736,9986500
2013-09-16,42.770000,43.070000,42.709999,42.889999,37.502808,19286200
2013-09-17,42.970001,43.049999,42.570000,42.849998,37.467834,16850300
2013-09-18,42.799999,43.820000,42.750000,43.310001,37.870056,23921600
2013-09-19,43.830002,43.830002,42.740002,42.959999,37.564014,15953300
2013-09-20,42.959999,43.099998,42.500000,42.849998,37.467834,32062300
2013-09-23,42.419998,42.520000,42.060001,42.310001,36.995659,16474300
2013-09-24,42.070000,42.299999,41.700001,41.730000,36.488506,22392800
2013-09-25,41.830002,41.959999,41.290001,41.810001,36.558456,19188200
2013-09-26,41.919998,42.200001,41.410000,41.610001,36.383587,20495000
2013-09-27,41.570000,41.770000,41.509998,41.590000,36.366096,20034100
2013-09-30,41.060001,41.540001,40.900002,41.320000,36.130009,20358800
2013-10-01,41.369999,41.570000,41.090000,41.490002,36.278648,12771100
2013-10-02,41.200001,41.259998,41.000000,41.259998,36.077549,17782400
2013-10-03,41.220001,41.220001,40.639999,41.000000,35.850197,19049600
2013-10-04,41.000000,41.299999,40.919998,41.299999,36.112518,12329500
2013-10-07,40.790001,40.900002,40.619999,40.619999,35.517925,15290200
2013-10-08,40.549999,40.770000,40.209999,40.240002,35.185658,19256200
2013-10-09,40.430000,40.549999,40.070000,40.360001,35.290596,17031000
2013-10-10,40.959999,41.470001,40.430000,41.439999,36.234928,26580700
2013-10-11,40.439999,41.509998,40.299999,41.430000,36.226189,46034600
2013-10-14,41.139999,41.900002,41.099998,41.750000,36.506001,17183700
2013-10-15,41.860001,41.980000,41.419998,41.540001,36.322376,17256600
2013-10-16,41.910000,42.630001,41.750000,42.209999,36.908222,25931800
2013-10-17,42.040001,42.759998,42.000000,42.680000,37.319187,18826200
2013-10-18,42.720001,42.939999,42.380001,42.680000,37.319187,17581300
2013-10-21,42.639999,42.860001,42.520000,42.619999,37.266727,16457100
2013-10-22,42.750000,43.049999,42.570000,42.939999,37.546520,18654300
2013-10-23,42.910000,42.970001,42.700001,42.759998,37.389133,13612900
2013-10-24,42.930000,42.980000,42.549999,42.689999,37.327927,13956600
2013-10-25,42.639999,42.930000,42.570000,42.860001,37.476578,19831600
2013-10-28,42.830002,42.990002,42.570000,42.830002,37.450344,12704500
2013-10-29,43.009998,43.060001,42.669998,42.959999,37.564014,13105700
2013-10-30,43.110001,43.400002,43.020000,43.099998,37.686424,16039700
2013-10-31,43.040001,43.230000,42.680000,42.689999,37.327927,18760200
2013-11-01,42.720001,43.040001,42.580002,42.669998,37.310432,15538700
2013-11-04,42.750000,42.840000,42.529999,42.700001,37.336674,11921600
2013-11-05,42.669998,42.820000,42.500000,42.630001,37.275463,16603700
2013-11-06,42.619999,42.639999,42.270000,42.439999,37.372326,14751500
2013-11-07,42.560001,42.599998,41.709999,41.709999,36.729504,22432500
2013-11-08,41.720001,42.959999,41.709999,42.709999,37.610085,23461300
2013-11-11,42.689999,42.860001,42.439999,42.750000,37.645313,11764400
2013-11-12,42.680000,42.750000,42.070000,42.279999,37.231434,13376800
2013-11-13,42.160000,42.790001,41.799999,42.759998,37.654114,24062300
